Area,crime_2011,crime_2021
E01000611,0.06741573,0.036803365
E01000612,0.056024096,0.04815864
E01000613,0.048955224,0.03848363
E01000615,0.18125388,0.0984375
E01000616,0.058756418,0.044034818
E01000617,0.072488584,0.046678636
E01000618,0.048750762,0.033549147
E01000619,0.047791894,0.025087515
E01000620,0.053613054,0.04305949
E01000621,0.071588367,0.057426836
E01000622,0.057788945,0.051229508
E01000623,0.054771316,0.050237969
E01000624,0.056973294,0.035307517
E01000625,0.066357001,0.048320566
E01000626,0.079893475,0.088099934
E01000627,0.099421357,0.083013436
E01000628,0.111814346,0.189772727
E01000629,0.055237103,0.052310818
E01000630,0.106843267,0.111069559
E01000631,0.114875596,0.097289448
E01000632,0.070267686,0.057222889
E01000633,0.136958711,0.087624904
E01000634,0.071489362,0.04214123
E01000635,0.085342529,0.079747003
E01000636,0.113598209,0.058599696
E01000637,0.058788599,0.055112882
E01000638,0.084318766,0.078725398
E01000639,0.046866177,0.050057537
E01000640,0.137558685,0.095640569
E01000641,0.061349693,0.08
E01000642,0.171980676,0.141952984
E01000643,0.175151798,0.098636364
E01000644,0.093285495,0.080104712
E01000645,0.036363636,0.040361865
E01000646,0.08434466,0.050139276
E01000647,0.016666667,0.03539823
E01000648,0.062929062,0.064583333
E01000649,0.032828283,0.028073572
E01000650,0.030271399,0.02753304
E01000651,0.030135301,0.046538685
E01000652,0.044144697,0.027647059
E01000653,0.035510463,0.037328094
E01000654,0.031372549,0.029019608
E01000655,0.027210884,0.045248869
E01000656,0.042052744,0.037609134
E01000657,0.107634543,0.081736909
E01000658,0.03626943,0.036512668
E01000659,0.028629857,0.033052039
E01000661,0.092211838,0.086450247
E01000662,0.043653073,0.054306089
E01000663,0.034947885,0.0541495
E01000664,0.045848823,0.042656917
E01000665,0.064215148,0.053850296
E01000666,0.059857221,0.044838373
E01000667,0.029048208,0.047101449
E01000668,0.086556169,0.074124602
E01000669,0.030915577,0.050732807
E01000670,0.04063786,0.056800417
E01000671,0.054732041,0.07661823
E01000672,0.080921053,0.060334528
E01000673,0.049013367,0.047791894
