Area,ethnic_2011,ethnic_2021,education_2011,education_2021,elderly_2011,elderly_2021,unemployed_2011,unemployed_2021,median_house_price_2011,median_house_price_2021,crime_2011,crime_2021,gentrification_score
E01000115,0.3,0.397,0.628,0.516,0.179,0.225,0.042213884,0.075149445,457000,890000,0.047297297,0.048028674,-0.591383785
E01000116,0.258,0.37,0.67,0.573,0.144,0.18,0.036644951,0.076526858,340000,605000,0.055911474,0.053519488,-1.137805806
E01000117,0.21,0.275,0.667,0.585,0.192,0.208,0.051750381,0.078947368,319000,592500,0.053326003,0.077714286,-0.183970698
E01000118,0.28,0.372,0.663,0.558,0.129,0.159,0.070503597,0.086269745,355000,554000,0.041903777,0.033333333,-0.38255912
E01000119,0.366,0.437,0.601,0.518,0.166,0.191,0.062852538,0.080326753,434500,800000,0.046967895,0.030388295,0.080482901
E01000120,0.334,0.444,0.616,0.531,0.17,0.201,0.041628122,0.093366093,505000,756000,0.04844061,0.032150033,-1.395512611
E01000121,0.353,0.438,0.781,0.663,0.134,0.124,0.148785425,0.184232365,302000,525000,0.032754011,0.042119565,0.182913893
E01000122,0.361,0.409,0.6,0.51,0.134,0.173,0.053308824,0.07966805,365500,645000,0.043331077,0.031434185,-0.30376561
E01000123,0.315,0.403,0.661,0.519,0.096,0.132,0.067809821,0.068483578,277500,518000,0.048076923,0.063175868,-0.012460416
E01000124,0.412,0.407,0.679,0.556,0.097,0.109,0.092868988,0.121501706,265000,488000,0.130246914,0.138133333,0.24047225
E01000125,0.605,0.445219575,0.742,0.537669242,0.1,0.125633398,0.08169464,0.102151742,221000,375000,0.085342529,0.079747003,0.178810745
E01000126,0.613,0.622,0.716,0.603,0.056,0.066,0.154208754,0.142857143,219000,440000,0.043438078,0.061634658,0.731669848
E01000127,0.5,0.571,0.752,0.673,0.084,0.106,0.11452514,0.142259414,232500,381250,0.046326936,0.067092652,-0.111340575
E01000128,0.51,0.547,0.771,0.626,0.098,0.106,0.100545596,0.125155666,245000,460000,0.050240513,0.054714216,0.290536633
E01000129,0.53,0.573,0.807,0.704,0.128,0.116,0.152555911,0.159968479,228500,500000,0.139652271,0.191944619,1.02457933
E01000130,0.513,0.579,0.741,0.669,0.064,0.102,0.105663567,0.136422977,232000,455000,0.046641791,0.052192067,-0.149471116
