LSOA code,All usual residents aged 16-74 ,Never worked and long term unemployed
E01000794,1124,25
E01000795,984,44
E01000796,1157,142
E01000797,1210,52
E01000798,1112,163
E01000799,1489,98
E01000800,1238,111
E01000801,1052,65
E01000802,1326,90
E01000803,1200,72
E01000804,1055,31
E01000805,922,58
E01000806,1262,118
E01000807,1098,36
E01000808,1115,29
E01000809,1053,25
E01000810,1078,25
E01000811,979,19
E01000812,1136,45
E01000813,1118,39
E01000814,1156,21
E01000815,1105,15
E01000816,1102,51
E01000818,1072,32
E01000819,1183,101
E01000820,1017,49
E01000822,1196,53
E01000823,1295,48
E01000824,900,37
E01000825,1189,79
E01000826,1163,17
E01000827,1196,34
E01000828,1131,28
E01000829,1264,36
E01000830,1089,28
E01000831,1158,37
E01000832,1056,33
E01000833,998,20
E01000834,956,17
E01000835,1119,24
E01000836,983,19
E01000837,1017,25
E01000838,982,18
E01000839,1106,21
E01000840,1048,21
E01000841,1108,24
E01032562,1021,92
E01032563,1002,39
E01032568,1059,50
E01032570,1124,33
E01034383,896,61
E01034384,443,25
E01034385,851,28
E01034386,375,16
E01000842,1175,39
E01000843,1299,88
E01000844,1408,39
E01000845,1166,54
E01000846,1027,131
E01000847,1171,150
E01000848,1273,40
E01000849,1274,39
E01000850,1548,49
E01000851,2206,54
E01000853,1231,130
E01000855,1623,51
E01000856,1246,183
E01000857,1122,51
E01000858,1457,195
E01000859,1289,38
E01000860,892,49
E01000861,1339,93
E01000862,1507,34
E01000863,1290,83
E01000866,1606,112
E01000867,1225,135
E01000868,1014,159
E01000869,1733,119
E01000870,1357,110
E01000871,1267,103
E01000872,1623,94
E01000873,1317,47
E01000874,1245,31
E01000875,1394,81
E01000876,1359,164
E01000877,1296,72
E01000878,1289,59
E01000879,1119,35
E01000880,1104,29
E01000881,1162,58
E01000882,1198,31
E01000883,1065,65
E01000884,1056,30
E01000885,1018,46
E01000886,1112,50
E01000887,1190,55
E01000888,1204,67
E01000889,1216,172
E01000890,1186,185
E01000891,1138,183
E01000892,1372,90
E01000893,1194,36
E01000894,1034,31
E01000895,1201,42
E01000896,1255,35
E01000897,1161,24
E01000898,1377,89
E01000899,1201,41
E01000900,1400,153
E01000901,1418,198
E01000902,1026,139
E01000903,1148,78
E01000904,1640,158
E01000905,1392,217
E01000906,1246,48
E01000907,1062,111
E01000908,1184,100
E01000909,1253,61
E01000910,1133,42
E01000911,1133,81
E01000912,1235,113
E01000913,1286,29
E01000914,1524,70
E01000915,1158,142
E01000916,1492,89
E01000917,1415,196
E01000918,1800,136
E01000919,1797,108
E01000920,1619,107
E01000921,1662,98
E01000922,1260,92
E01000923,1179,84
E01000924,1382,77
E01000925,1084,157
E01000926,1490,101
E01000927,1419,80
E01000928,1264,91
E01000929,1188,172
E01000930,1415,164
E01000931,1494,189
E01000932,1605,80
E01000933,1414,79
E01000934,1178,149
E01000935,1000,136
E01000937,1322,65
E01000938,1354,138
E01000939,897,168
E01000941,933,142
E01000942,1957,58
E01000943,923,64
E01000944,1552,154
E01000946,1199,82
E01000947,1715,146
E01000948,1380,79
E01000949,1201,120
E01000951,1106,157
E01000952,1318,160
E01000954,1097,203
E01000955,1141,141
E01000956,1150,160
E01000957,1379,166
E01000958,1820,202
E01000959,1252,152
E01000960,1380,107
E01000961,1123,150
E01000962,1330,44
E01000963,1416,141
E01000964,1220,88
E01000965,1243,61
E01000966,1237,30
E01000967,1031,74
E01000968,1275,70
